Key,Comment,Japanese,Japanese,English
Erena.Fallen1-28,触手怪人,「安心したまえ、君を捕食するつもりはない」,「安心したまえ、君を捕食するつもりはない」,"Rest assured, I have no intention of preying on you."""
,,,,
Erena.Fallen1-29,,「エレナ君を直接味わってみたくてね。口の中で味見させてもらうのだ」,「エレナ君を直接味わってみたくてね。口の中で味見させてもらうのだ」,"I wanted to taste you directly, Erena. Let me taste you in my mouth."""
,,,,
Erena.Fallen1-30,エレナ,「―――――――――ッ！！ん゛ん゛―――――――――ッ！？！」,「―――――――――ッ！！ん゛ん゛―――――――――ッ！？！」,"""―――――――――! ¡°―――――――――¡±?"
,,,,
Erena.Fallen1-31,,そして触手怪人は口の中でエレナをしゃぶり始める,そして触手怪人は口の中でエレナをしゃぶり始める,And the tentacle monster starts sucking Erena in its mouth.
,,,,
Erena.Fallen1-32,,ジュルッ、ジュルッ、ジュルルルッ、ジュプッ！,ジュルッ、ジュルッ、ジュルルルッ、ジュプッ！,"Jelp, jelp, jelp, jelp, jelp, jelp!"
,,,,
Erena.Fallen1-33,エレナ,「？！、ん゛ん゛っ！！、んんっ♥！」,「？！、ん゛ん゛っ！！、んんっ♥！」,? ¡¡¡¡¡¡¡¡¡¡! ...ding ding ding!
,,,,
Erena.Fallen1-34,Erena darkness1-6,(上半身丸呑みされてっ！？捕食っ…じゃないっ！？、…舐められてるっ！？),(上半身丸呑みされてっ！？捕食っ…じゃないっ！？、…舐められてるっ！？),(Swallowed whole upper body! Not predation! He's licking me!)
,,,,
Erena.Fallen1-35,,ジュルルルッ、グプッ！ジュププッ,ジュルルルッ、グプッ！ジュププッ," Jup, gup!"
,,,,
Erena.Fallen1-36,,(～～～っ！！臭いっ！、気持ち悪いっ！不快すぎるっ！),(～～～っ！！臭いっ！、気持ち悪いっ！不快すぎるっ！),(~~~! It stinks! It's disgusting! It's too unpleasant!)
Erena.Fallen1-37,,(ん゛あっ！？ぐうっ！、下半身にも触手がっ？！ん゛っ♥),(ん゛あっ！？ぐうっ！、下半身にも触手がっ？！ん゛っ♥),(¡ngh! Gghh..! Tentacles are on my lower body too? Dang!)
Erena.Fallen1-38,,(あっ♥♥、ん゛ん゛っ♥、見えなくて感覚が敏感にっ♥！),(あっ♥♥、ん゛ん゛っ♥、見えなくて感覚が敏感にっ♥！),"(Oh, I can't see, I can't see, my senses are so sensitive!)"
,,,,
Erena.Fallen1-39,触手怪人,「グフフッ、学園にいたころはいつも君にしゃぶって貰ってばかりだったからね。それのお返しだよ」,「グフフッ、レギオンにいたころはいつも君にしゃぶって貰ってばかりだったからね。それのお返しだよ」,I was always getting sucked off by you when I was at the school. This is my way of repaying you.
,,,,
Erena.Fallen1-40,,ジュルッ、ズルルルッ、ジュププッ！,ジュルッ、ズルルルッ、ジュププッ！,"Jelp, zulu, zulu, zulu, zulu!"
,,,,
Erena.Fallen1-41,,エレナは全身に触手触れていない所が無いほど絡みつかれ、粘液が体中に塗りたくられる,エレナは全身に触手触れていない所が無いほど絡みつかれ、粘液が体中に塗りたくられる,"Erena's entire body is entangled in the tentacles, so much so that there is not an area that is not touched by them, and mucus is smeared all over her body."
,,,,
Erena.Fallen1-42,エレナ,「ん゛ん゛ん゛！！ん゛ん゛～～～～！！」,「ん゛ん゛ん゛！！ん゛ん゛～～～～！！」," ""B―B―B―B―～～～～!!!"""
,,,,
Erena.Fallen1-43,,(うああっ♥！っ、やめろっ！ん゛あっ♥♥、気持ち悪いぃっっ！！！),(うああっ♥！っ、やめろっ！ん゛あっ♥♥、気持ち悪いぃっっ！！！),"(Uh―oh ♥! Stop it! Oh, God, that's disgusting!)"
,,,,
Erena.Fallen1-44,,ジュププッ！ズルッ！ジュルルルッ！,ジュププッ！ズルッ！ジュルルルッ！,Jupup! Julp! 
,,,,
Erena.Fallen1-45,エレナ,(この私がっ♥、おしゃぶりみたいにっ♥♥、ん゛あっ♥？！),(この私がっ♥、おしゃぶりみたいにっ♥♥、ん゛あっ♥？！),(I'm like a sucking pussy!)
,,,,
Erena.Fallen1-46,,(――――――っ、変身できなくともこの私がこのままやられると思わないでくださいっ！),(――――――っ、変身できなくともこの私がこのままやられると思わないでくださいっ！),"(――――――, even if I can't transform, don't think I'm going to let this happen to you!)"
,,,,
Erena.Fallen1-47,,エレナは身体を激しく動かして抵抗し、触手の内側に噛みつく,エレナは身体を激しく動かして抵抗し、触手の内側に噛みつく,Erena resists by moving her body violently and bites the inside of the tentacle
,,,,
Erena.Fallen1-48,触手怪人,「ムッ！？、……こいつめ元気がいいのは結構なことだが飼い主に噛みつくとは…」,「ムッ！？、……こいつめ元気がいいのは結構なことだが飼い主に噛みつくとは…」,"Mwah! ......, it's one thing to be cheerful, but to bite your owner..."""
,,,,
Erena.Fallen1-49,エレナ,「ん゛ん゛っ！ん゛ん゛っ！！」,「ん゛ん゛っ！ん゛ん゛っ！！」,"""D―D―D―D―D―D―D...! D―B―B―B―But...!"""
,,,,
Erena.Fallen1-50,触手怪人,「無駄な抵抗をするのも可愛らしいが…これはしつけが必要だな」,「無駄な抵抗をするのも可愛らしいが…これはしつけが必要だな」,'It's adorable how they resist in vain... but this one needs to be trained.
,,,,
Erena.Fallen1-51,,「少し刺激が強いかもしれないが…ほれっ！」,「少し刺激が強いかもしれないが…ほれっ！」,"It may be a little pungent, but... hooray!"""
,,,,
Erena.Fallen1-52,Erena darkness 1-7,プシュウウウウウウウウッッッ！,プシュウウウウウウウウッッッ！,Psshhhhhhhhhh!
Erena.Fallen1-53,,触手怪人の口の奥からピンク色のガスが吐き出される,触手怪人の口の奥からピンク色のガスが吐き出される,Pink gas is ejected from the back of the tentacle monster's mouth.
Erena.Fallen1-54,エレナ,「――――っ！！！？ゴフッ、ゴフッ！？」,「――――っ！！！？ゴフッ、ゴフッ！？」,"""――――! Gosh, gosh!!!?"""
,,,,
Erena.Fallen1-55,,(―――これはっ！？、煙っ！？一体何が起きてっ！？),(―――これはっ！？、煙っ！？一体何が起きてっ！？),(―――This is it! Smoke! What the hell is going on?)
,,,,
Erena.Fallen1-56,,(ん゛あっ♥！？この煙っ、まさか――――――),(ん゛あっ♥！？この煙っ、まさか――――――),"(♥? This smoke, I don't think so. ――――――)"
,,,,
Erena.Fallen1-57,Erena darkness 1-8,「ん゛ん゛～～～～～っ♥♥！？お゛お゛お゛っ♥♥♥！？」,「ん゛ん゛～～～～～っ♥♥！？お゛お゛お゛っ♥♥♥！？」,"""¡ÓCome on, ～～～～～ ♥♥♥♥♥♥♥! OHHHHHHHHHHH!"
,,,,
Erena.Fallen1-58,触手怪人,「グフフ…どうかね私の媚薬ガスは？脳にガツンと届くだろう？」,「グフフ…どうかね私の媚薬ガスは？脳にガツンと届くだろう？」,"""How about my aphrodisiac gas? It'll go right to your brain, won't it?"""
,,,,
Erena.Fallen1-59,エレナ,(んあ゛ぁ！っ♥、力がっ♥…抜けるっ！？体がぁ♥、熱くなって…！？),(んあ゛ぁ！っ♥、力がっ♥…抜けるっ！？体がぁ♥、熱くなって…！？),(Nnnnggghh...! I can't... relax! My body is getting hot...!)
,,,,
Erena.Fallen1-60,,プシュウウッッ、プシュッッ,プシュウウッッ、プシュッッ,"Pshwuuggghh, pshwuuggghh."
,,,,
Erena.Fallen1-61,エレナ,「む゛ん゛ん゛～～～♥！？ん゛ん゛っ♥」,「む゛ん゛ん゛～～～♥！？ん゛ん゛っ♥」,"""¡Muun dun dun dun~♥? ♥♥!"""
,,,,
Erena.Fallen1-62,,(んお゛お゛っ♥、むりっ♥、なにもっ♥…考えられないぃっ…っ♥♥),(んお゛お゛っ♥、むりっ♥、なにもっ♥…考えられないぃっ…っ♥♥),(I can't... can't think... can't think... can't think... can't think... can't think... can't think... can't think... can't think... can't think... can't think...)
,,,,
Erena.Fallen1-63,触手怪人,「ぐふふ、すっかりおとなしくなりおって、しばらく口の中を楽しんでもらおう」,「ぐふふ、すっかりおとなしくなりおって、しばらく口の中を楽しんでもらおう」,"""Goof, he's gone all quiet, let's let him enjoy the inside of our mouths for a while."
,,,,
Erena.Fallen1-64,,ジュルルルッ、プシュウウッッッ、ズルッ、ジュポッ、ドチュッ、ズルルルッ！,ジュルルルッ、プシュウウッッッ、ズルッ、ジュポッ、ドチュッ、ズルルルッ！,"Joollllllllll, pshuuuuuuck, cheeze, jooooooooooooooooooooooooooooooooooooooooooooooooooo!"
,,,,
Erena.Fallen1-65,Erena darkness 1-9,エレナは意識が朦朧とする中、全身をくまなく触手と粘液で蹂躙される,エレナは意識が朦朧とする中、全身をくまなく触手と粘液で蹂躙される,Erena is violated by tentacles and mucus all over her body while she is in a daze.
,,,,
Erena.Fallen1-66,エレナ,「ん゛ん゛～～～～♥♥？？、ん゛お゛っ？？ん゛ん゛！」,「ん゛ん゛～～～～♥♥？？、ん゛お゛っ？？ん゛ん゛！」,"""♥♥♥♥? D―D―D―Oh? D―D―D―D―D―D―D!"""
,,,,
Erena.Fallen1-67,,(私は今どうなってっ♥……？？んあっ♥？),(私は今どうなってっ♥……？？んあっ♥？),(What's happening to me now ♥......? What's happening to me now?)
,,,,
Erena.Fallen1-68,,(しっかりしてっ♥♥！、私は清藤エレナ！こんな雑魚に屈することなどっ！),(しっかりしてっ♥♥！、私は清藤エレナ！こんな雑魚に屈することなどっ！),(Hang in there! I am Seidō Erena! I will not give in to such a small fish!)
Erena.Fallen1-69,,プシュウウッッ、プシュッッッ！！！！,プシュウウッッ、プシュッッッ！！！！,"Psshhhhhh, psshhhh ！！！！"
Erena.Fallen1-70,,「ん゛お゛っ♥♥、むりいぃぃぃっ♥、ぐちゅぐちゅされてっ♥、何も考えられないぃっ♥」,「ん゛お゛っ♥♥、むりいぃぃぃっ♥、ぐちゅぐちゅされてっ♥、何も考えられないぃっ♥」,I can't think of anything.
,,,,
Erena.Fallen1-71,暗転,数時間後―――――,数時間後―――――,A few hours later: ―――――
,,,,
Erena.Fallen1-72,,ジュプッ、ジュプッ、ゲポッ、ジュルル、キュポンッ、グパァッ…,ジュプッ、ジュプッ、ゲポッ、ジュルル、キュポンッ、グパァッ…,"Jup, jup, gebo, jul, cupon, gup..."
,,,,
Erena.Fallen1-73,,遂にエレナが触手怪人の口から解放され、数時間ぶりに外の空気と光にさらされる,遂にエレナが触手怪人の口から解放され、数時間ぶりに外の空気と光にさらされる,"Finally, Erena is freed from the tentacle monster's mouth and exposed to the outside air and light for the first time in several hours!"
,,,,
Erena.Fallen1-74,エレナ,「…………んぁ♥？……………お゛お♥？」,「…………んぁ♥？……………お゛お♥？」,"""............ ♥♥? ............... ♥♥?"""
,,,,
Erena.Fallen1-75,触手怪人,「グフフッ、どうだったかね？私の中は」,「グフフッ、どうだったかね？私の中は」,"'Guffaw, how did it feel? Inside me."""
,,,,
Erena.Fallen1-76,エレナ,「ん゛ん゛っ？…………♥！」,「ん゛ん゛っ？…………♥！」,"""♥♥♥♥? ............♥!"""
,,,,
Erena.Fallen1-77,触手怪人,「ずっと触手入れっぱなしだったからマンコもアナルもすっかりガバガバになってしまったな」,「ずっと触手入れっぱなしだったからマンコもアナルもすっかりガバガバになってしまったな」,'You've had your tentacles in so long that your cunt and anus have become completely gabby.
,,,,
Erena.Fallen1-78,エレナ,「んあっ♥……っ？、お゛おっ♥？」,「んあっ♥……っ？、お゛おっ♥？」,"""♥♥......? Oh, oh, oh, oh?"""
,,,,
Erena.Fallen1-79,触手怪人,「おやおや、あのエレナ君がすっかり馬鹿になってしまったな」,「おやおや、あのエレナ君がすっかり馬鹿になってしまったな」,"Oh dear, that Erena, you've turned into a complete idiot."
Erena.Fallen1-80,,「グフフッ、まだ先は長いというのに、これでは落ちるのも時間の問題だな」,「グフフッ、まだ先は長いというのに、これでは落ちるのも時間の問題だな」,"Goof, we've got a long way to go, but it's only a matter of time before we fall."""
,,,,
,,,,
Erena darkness 2,,,,
Erena.Fallen2-1,Erena darkness 2-1,――――財団地下研究施設,――――財団地下研究施設,―――― Foundation Underground Research Facility
,,,,
Erena.Fallen2-2,,エレナが捕まってから数日後,エレナが捕まってから数日後,A few days after Erena was captured
,,,,
Erena.Fallen2-3,エレナ,「―――――――――っ♥！！ん゛ん゛♥―――――――――ッ！？！」,「―――――――――っ♥！！ん゛ん゛♥―――――――――ッ！？！」,"""―――――――――! ♥―――――――――!"
,,,,
Erena.Fallen2-4,,プシューッ、ジュプッ、ジュルルッ、グチュッ、ジュルルッ,プシューッ、ジュプッ、ジュルルッ、グチュッ、ジュルルッ,"Psssshhhh, jup, julp, gush, julp, julp."
,,,,
Erena.Fallen2-5,,広い部屋の中にジュルジュルと水音が響き渡る,広い部屋の中にジュルジュルと水音が響き渡る,The sound of sizzling water echoes through the large room.
,,,,
Erena.Fallen2-6,,―――――グパッ、ズルッ、ズルルルッ,―――――グパッ、ズルッ、ズルルルッ,"――――― gpap, slurp, slurp, slurp"
,Erena darkness 2-2,,,
Erena.Fallen2-7,エレナ,「――――プハッ、ハアッ、ハアッ、ハアッ！」,「――――プハッ、ハアッ、ハアッ、ハアッ！」,"""―――― puhah, hah, hah, hah!"""
,,,,
Erena.Fallen2-8,触手怪人,「おはようエレナ君。私の中で過ごすのも慣れてきたかな？」,「おはようエレナ君。私の中で過ごすのも慣れてきたかな？」,"Good morning, Erena. Are you getting used to spending time inside me?"""
,,,,
Erena.Fallen2-9,エレナ,「―――っ、はあっ♥、ん゛っ♥、こんなのに慣れるわけがないでしょう！？、最悪です！」,「―――っ、はあっ♥、ん゛っ♥、こんなのに慣れるわけがないでしょう！？、最悪です！」,"""――――, ah, dang, I'll never get used to this! It's the worst!"
,,,,
Erena.Fallen2-10,触手怪人,「グフフ、そうは言っても体は私の触手と粘液を受け入れ始めているようだぞ？」,「グフフ、そうは言っても体は私の触手と粘液を受け入れ始めているようだぞ？」,"'Guffaw, but even so, it seems your body is beginning to accept my tentacles and mucus, no?"
,,,,
Erena.Fallen2-11,,「はあっ♥、はあっ♥勝手な……ことをっ♥！」,「はあっ♥、はあっ♥勝手な……ことをっ♥！」,"""Ah, ah, ah, ah, selfish ...... thing!"""
,,,,
Erena.Fallen2-12,エレナ,(―――――っしかし、この聖核エネルギーを阻害する体液にも慣れてきました),(―――――っしかし、この聖核エネルギーを阻害する体液にも慣れてきました),"(――――― however, I have become accustomed to this fluid that inhibits the Seikaku energy.)"
,,,,
Erena.Fallen2-13,,(……少しずつですが体内に聖核エネルギーを蓄積できています),(……少しずつですが体内に聖核エネルギーを蓄積できています),"(...... little by little, we are able to accumulate the Seikaku energy in our body)"
,,,,
Erena.Fallen2-14,,(……私なら数秒変身してしまえばこの程度の怪人なら倒せるはずです),(……私なら数秒変身してしまえばこの程度の怪人なら倒せるはずです),(...... I would be able to defeat this level of monster once I transformed for a few seconds)
,,,,
Erena.Fallen2-15,,(早ければ明日、――――いえ、今日中にでもこの怪人を倒し、脱出します！),(早ければ明日、――――いえ、今日中にでもこの怪人を倒し、脱出します！),"(We will defeat this monster and escape as early as tomorrow, ―――― or even today!)"
,Erena darkness 2-3,,,
Erena.Fallen2-16,触手怪人,「グフフッ、そうだった、今日はエレナ君に見せたいものがあるんだ」,「グフフッ、そうだった、今日はエレナ君に見せたいものがあるんだ」,"Guffaw, that's right, I have something to show you today, Erena."
,,,,
Erena.Fallen2-17,エレナ,「ん゛っ♥、―――っ見せたいものっ？」,「ん゛っ♥、―――っ見せたいものっ？」,"""♥♥♥, ――― is there something you want to show me?"""
,,,,
Erena.Fallen2-18,触手怪人,「―――君は巨大財閥グループの清藤家の御令嬢だったな？」,「―――君は巨大財閥グループの清藤家の御令嬢だったな？」,"""―――You are the daughter of the Seidō family of a huge zaibatsu group, aren't you?"""
,,,,
Erena.Fallen2-19,エレナ,「――――――っ！？」,「――――――っ！？」,"""――――――?"
,,,,
Erena.Fallen2-20,,「―――まさかっ、私の家族に何を！？」,「―――まさかっ、私の家族に何を！？」,"""―――No way, what have you done to my family?"""
,,,,
Erena.Fallen2-21,触手怪人,「安心したまえ、我々は平和的な組織だ。市民に手を出すようなことはしないさ」,「安心したまえ、我々は平和的な組織だ。市民に手を出すようなことはしないさ」,"Rest assured, we are a peaceful organization. We would never hurt a civilian."
,,,,
Erena.Fallen2-22,エレナ,「……いったい、何を…っ！」,「……いったい、何を…っ！」,"""...... what the hell...!"""
,,,,
Erena.Fallen2-23,触手怪人,「グフフッ、先日財団の職員が清藤グループ会長とエレナ君について話をしてね」,「グフフッ、先日財団の職員が清藤グループ会長とエレナ君について話をしてね」,"The other day, an employee of the foundation spoke with the chairman of the Seidō Group about Erena―kun."
,,,,
Erena.Fallen2-24,エレナ,「――――、なっ、………まさ、か……！？」,「――――、なっ、………まさ、か……！？」,"""――――, what, ........., are you sure it's ......?"
,,,,
Erena.Fallen2-25,触手怪人,「結論から言おう。清藤グループは我々財団の下部組織となった」,「結論から言おう。清藤グループは我々財団の下部組織となった」,"Let me conclude. The Seidō Group became a subordinate organization of our foundation."""
,Erena darkness 2-4,,,
Erena.Fallen2-26,エレナ,「――――なっ！？――――まさかっ、そんなっ？！」,「――――なっ！？――――まさかっ、そんなっ？！」,"""――――? ――――No way, sonny?"
,,,,
Erena.Fallen2-27,,「清藤グループは聖核戦姫を特に支援していたのにっ、なぜそんなに急に？！」,「清藤グループは聖核戦姫を特に支援していたのにっ、なぜそんなに急に？！」,"The Seidō Group had been particularly supportive of the Seikaku Princess, so why so suddenly?"
,,,,
Erena.Fallen2-28,触手怪人,「グフフッ、我々がエレナ君を捕獲したと伝えたらすぐに了承してくれたよ」,「グフフッ、我々がエレナ君を捕獲したと伝えたらすぐに了承してくれたよ」,"When we told them that we had captured Erena, they immediately agreed."
,,,,
Erena.Fallen2-29,,「エレナ君には可哀そうだが…今の我々の力を考えれば非常に賢い選択だ」,「エレナ君には可哀そうだが…今の我々の力を考えれば非常に賢い選択だ」,"I feel sorry for you, Erena, but it's a very wise choice given our current strength."""
,,,,
Erena.Fallen2-30,エレナ,「―――――っ、あなた達はっ！」,「―――――っ、あなた達はっ！」,"""―――――, you guys are!"""
,,,,
Erena.Fallen2-31,Erena darkness 2-3,(―――いえ、相手のペースに飲まれてはいけません),(―――いえ、相手のペースに飲まれてはいけません),"(―――No, don't let them drink you into their pace.)"
,,,,
Erena.Fallen2-32,,(生徒会と清藤グループは私が深い関係を維持してきました…私が生徒会へ戻れば清藤グループは再び聖核戦姫を支援してくれるはずです),(レギオンと清藤グループは私が深い関係を維持してきました…私が司令部へ戻れば清藤グループは再び聖核戦姫を支援してくれるはずです),"(I have maintained a close relationship with the Student Council and the Seidō Group... If I return to the Student Council, the Seidō Group will once again support the Seikaku Princess.)"
,,,,
Erena.Fallen2-33,触手怪人,「グフフッ、エレナ君、君まだ生徒会へ戻れると思っているのかね？」,「グフフッ、エレナ君、君まだレギオンへ戻れると思っているのかね？」,"""Guffaw, Erena, do you still think you can go back to student council?"""
,,,,
Erena.Fallen2-34,エレナ,「当たり前です！あなた程度の怪人がいつまでも私を拘束できると思わないでください！」,「当たり前です！あなた程度の怪人がいつまでも私を拘束できると思わないでください！」,"It's only natural! Do not think that a monster of your caliber can hold me forever!"""
,,,,
Erena.Fallen2-35,,「それに生徒会にはまだ沢山の聖核戦姫がいます！戦力では私達の方が遥かに上です！」,「それにレギオンにはまだ沢山の聖核戦姫がいます！戦力では私達の方が遥かに上です！」,"And the student council still has a lot of Seikaku warriors! We are far superior to them in terms of strength!"""
,,,,
Erena.Fallen2-36,触手怪人,「まだ理解できていないようだが…君がもう学園に戻れない理由を説明しよう」,「まだ理解できていないようだが…君がもうレギオンに戻れない理由を説明しよう」,You still don't seem to understand but let me explain why you can no longer return to the academy.
,,,,
Erena.Fallen2-37,エレナ,「――――っ、そんな事あるわけがっ！」,「――――っ、そんな事あるわけがっ！」,"""――――, how is that possible?"
,,,,
Erena.Fallen2-38,触手怪人,「一つ目の理由だが…君のご両親に執務室で撮影した写真の数々を見てもらったのだ」,「一つ目の理由だが…君のご両親に執務室で撮影した写真の数々を見てもらったのだ」,"""The first reason is...we had your parents look at a number of the pictures you took in the Oval Office."
,,,,
Erena.Fallen2-39,Erena darkness 2-4,「―――――っ！！！！！、そん……なっ！？、なんでっ！あれは秘密だと！」,「―――――っ！！！！！、そん……なっ！？、なんでっ！あれは秘密だと！」,"""―――――, ！！！！！ Son of ......! What? I thought that was a secret!"
,,,,
Erena.Fallen2-40,触手怪人,「そしてエレナ君の今後の扱いについてだが…」,「そしてエレナ君の今後の扱いについてだが…」,"And Erena, as for your future..."""
,,,,
Erena.Fallen2-41,,「君は戸籍を抹消された。もう清藤家の人間ではない」,「君は戸籍を抹消された。もう清藤家の人間ではない」,"You are no longer a member of the Seidō family. You are no longer a member of the Seidō family."""
,,,,
Erena.Fallen2-42,エレナ,「……なっ！？…っ！…！？」,「……なっ！？…っ！…！？」,"""...... huh? ...! ...?"
,,,,
Erena.Fallen2-43,触手怪人,「あの動画を君の父親に見せた所大変憤慨していたようでね。今後清藤の名を名乗ることは許さないそうだ」,「あの動画を君の父親に見せた所大変憤慨していたようでね。今後清藤の名を名乗ることは許さないそうだ」,"I showed the video to your father, and he was very upset. He will not allow you to use the name Seidō in the future."
,,,,
Erena.Fallen2-44,エレナ,「―――っ、なんでっ…！」,「―――っ、なんでっ…！」,What the...!
,,,,
Erena.Fallen2-45,触手怪人,「既に手続きも済ませ君の名前は戸籍から抹消された。これがその証拠だ」,「既に手続きも済ませ君の名前は戸籍から抹消された。これがその証拠だ」,Your name has already been removed from the family register. Here is the proof.
,,,,
